title,author,price,genre,in_stock
The Kindly Ones,Jonathan Littell,20.78,Historical Fiction,20
1984,George Orwell,22.36,Dystopia,0
A Game of Thrones,George R.R. Martin,20.43,Fantasy,22
Sense and Sensibility,Jane Austen,23.32,Classic,2
1984,George Orwell,23.93,Dystopia,28
To the Lighthouse,Virginia Woolf,31.02,Modernism,45
The Suitcase,Sergei Dovlatov,8.38,Russian Literature,34
The Zone,Sergei Dovlatov,17.07,Russian Literature,17
The Bell Jar,Sylvia Plath,30.01,Poetry & Fiction,49
Ariel,Sylvia Plath,29.1,Poetry & Fiction,45
Bonjour Tristesse,Françoise Sagan,28.43,French Literature,33
The Kindly Ones,Jonathan Littell,17.33,Historical Fiction,2
The Compromise,Sergei Dovlatov,33.69,Russian Literature,17
A Storm of Swords,George R.R. Martin,17.98,Fantasy,45
The Suitcase,Sergei Dovlatov,13.04,Russian Literature,25
Brave New World,Aldous Huxley,26.01,Dystopia,21
The Waves,Virginia Woolf,12.46,Modernism,39
A Certain Smile,Françoise Sagan,30.5,French Literature,36
A Certain Smile,Françoise Sagan,8.28,French Literature,48
Emma,Jane Austen,8.74,Classic,6
The Zone,Sergei Dovlatov,34.04,Russian Literature,35
We,Yevgeny Zamyatin,13.47,Dystopia,20
A Certain Smile,Françoise Sagan,28.17,French Literature,19
The Suitcase,Sergei Dovlatov,20.9,Russian Literature,25
The Sound of Waves,Yukio Mishima,25.23,Literary Fiction,37
Pride and Prejudice,Jane Austen,11.16,Classic,40
The Suitcase,Sergei Dovlatov,7.69,Russian Literature,18
The Suitcase,Sergei Dovlatov,29.84,Russian Literature,29
Emma,Jane Austen,13.77,Classic,30
The Zone,Sergei Dovlatov,7.95,Russian Literature,42
Mrs Dalloway,Virginia Woolf,28.49,Modernism,17
A Game of Thrones,George R.R. Martin,12.33,Fantasy,22
Emma,Jane Austen,8.36,Classic,41
A Certain Smile,Françoise Sagan,34.27,French Literature,47
Confessions of a Mask,Yukio Mishima,30.7,Literary Fiction,46
Ariel,Sylvia Plath,9.06,Poetry & Fiction,49
A Game of Thrones,George R.R. Martin,25.37,Fantasy,30
The Zone,Sergei Dovlatov,5.85,Russian Literature,48
Brave New World,Aldous Huxley,28.63,Dystopia,4
Bonjour Tristesse,Françoise Sagan,19.56,French Literature,16
A Storm of Swords,George R.R. Martin,30.06,Fantasy,4
The Temple of the Golden Pavilion,Yukio Mishima,23.92,Literary Fiction,26
Emma,Jane Austen,15.57,Classic,13
The Sound of Waves,Yukio Mishima,31.89,Literary Fiction,31
A Game of Thrones,George R.R. Martin,16.85,Fantasy,37
Brave New World,Aldous Huxley,20.83,Dystopia,17
A Certain Smile,Françoise Sagan,22.45,French Literature,20
Confessions of a Mask,Yukio Mishima,27.12,Literary Fiction,21
Pride and Prejudice,Jane Austen,18.29,Classic,46
The Bell Jar,Sylvia Plath,9.15,Poetry & Fiction,11
